N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto,Mes,Dias hasta próxima compra,Hora
541431,2021-01-18 10:01:00,12346.0,United Kingdom,74215,77183.6,2021-01,,10
537626,2020-12-07 14:57:00,12347.0,Iceland,319,711.79,2020-12,,14
542237,2021-01-26 14:30:00,12347.0,Iceland,315,475.39,2021-01,49.0,14
549222,2021-04-07 10:43:00,12347.0,Iceland,483,636.25,2021-04,70.0,10
556201,2021-06-09 13:01:00,12347.0,Iceland,196,382.52,2021-06,63.0,13
562032,2021-08-02 08:48:00,12347.0,Iceland,277,584.91,2021-08,53.0,8
573511,2021-10-31 12:25:00,12347.0,Iceland,676,1294.32,2021-10,90.0,12
581180,2021-12-07 15:52:00,12347.0,Iceland,192,224.82,2021-12,37.0,15
539318,2020-12-16 19:09:00,12348.0,Finland,1254,892.8,2020-12,,19
541998,2021-01-25 10:42:00,12348.0,Finland,601,227.44,2021-01,39.0,10
548955,2021-04-05 10:47:00,12348.0,Finland,269,367.0,2021-04,70.0,10
568172,2021-09-25 13:13:00,12348.0,Finland,217,310.0,2021-09,173.0,13
577609,2021-11-21 09:51:00,12349.0,Italy,631,1757.55,2021-11,,9
543037,2021-02-02 16:01:00,12350.0,Norway,197,334.4,2021-02,,16
544156,2021-02-16 12:33:00,12352.0,Norway,98,296.5,2021-02,,12
545323,2021-03-01 14:57:00,12352.0,Norway,26,144.35,2021-03,13.0,14
545332,2021-03-01 15:52:00,12352.0,Norway,3,840.3,2021-03,0.0,15
546869,2021-03-17 16:00:00,12352.0,Norway,63,120.33,2021-03,16.0,16
547390,2021-03-22 16:08:00,12352.0,Norway,64,160.33,2021-03,5.0,16
567505,2021-09-20 14:34:00,12352.0,Norway,103,366.25,2021-09,181.0,14
568699,2021-09-28 14:58:00,12352.0,Norway,52,266.25,2021-09,8.0,14
574275,2021-11-03 14:37:00,12352.0,Norway,127,311.73,2021-11,35.0,14
553900,2021-05-19 17:47:00,12353.0,Bahrain,20,89.0,2021-05,,17
550911,2021-04-21 13:11:00,12354.0,Spain,530,1079.4,2021-04,,13
552449,2021-05-09 13:49:00,12355.0,Bahrain,240,459.4,2021-05,,13
541430,2021-01-18 09:50:00,12356.0,Portugal,1216,2271.62,2021-01,,9
549435,2021-04-08 12:33:00,12356.0,Portugal,370,481.46,2021-04,80.0,12
576895,2021-11-17 08:40:00,12356.0,Portugal,5,58.35,2021-11,222.0,8
574740,2021-11-06 16:07:00,12357.0,Switzerland,2708,6207.67,2021-11,,16
559707,2021-07-12 10:04:00,12358.0,Austria,100,484.86,2021-07,,10
581232,2021-12-08 10:26:00,12358.0,Austria,148,683.2,2021-12,149.0,10
